property,bin_midpoint,bin_left,bin_right,molecule_count,cyclobutadiene,borinine,14diborinine,dhdiborinine,borole,pyridine,pyrazine,pyrrole,furan,thiophene
gap,0.8825000000000001,0.831,0.934,30176,0.11989875024338884,0.09677861351294828,0.12230739829952332,0.10665839745577535,0.12376412556700585,0.08498056495056502,0.09990120216057173,0.08385556765488544,0.07825221573986602,0.08360316441547015
gap,0.986,0.934,1.038,33566,0.11155967887223928,0.09842920921302659,0.10880471302987067,0.11082326795494743,0.12357895705803838,0.08842848595230424,0.10506348256612905,0.08698196450762383,0.08088027405006279,0.08544996679575775
gap,1.0899999999999999,1.038,1.142,36381,0.10699639386648027,0.10021092479077622,0.10011195714701025,0.11104169630541415,0.11961476844664097,0.09251619048797234,0.10298820429395865,0.09117394181939642,0.0859966969548893,0.08934922588746141
gap,1.194,1.142,1.246,39708,0.10115760936392966,0.10059549252560267,0.09339922591827056,0.1042843842771236,0.11885843438749759,0.09736917608895498,0.10375739974119204,0.09625079779603356,0.09042469098212351,0.09390278891927183
gap,1.2974999999999999,1.246,1.349,41103,0.09904127062502571,0.10179813191787022,0.0875494500972837,0.09467966917664486,0.1125022777905138,0.10242709600813539,0.10399656714926435,0.10138078191404941,0.0972307945521129,0.09939396076909963
gap,1.401,1.349,1.453,41068,0.10020355859667195,0.10265607180958687,0.0817300028203902,0.0852616218469877,0.10556843124992336,0.10935143288084465,0.09948006719886203,0.10641454830837901,0.1037597027553986,0.10557456253295565
gap,1.505,1.453,1.557,37757,0.09970627982018257,0.106339115805731,0.08135911084144626,0.07971813894481371,0.09086020022615075,0.11213767616315949,0.09703108193827739,0.1100140654733997,0.11012438291182879,0.11270994787501035
gap,1.6084999999999998,1.557,1.66,33465,0.09336436019264761,0.11170480159566705,0.07996172993659494,0.07358879141193832,0.08078875249322977,0.11906692396257318,0.09325084729271733,0.11243452738093307,0.11794801109183194,0.1178912546418668
gap,1.712,1.66,1.764,28138,0.09221565329492692,0.11808961717813656,0.06757042572691839,0.05972464220608527,0.06770135664575129,0.1265900552931342,0.0966673045352456,0.11927806705677366,0.12784900643575825,0.1243138716272699
gap,1.816,1.764,1.868,22609,0.0963504797860626,0.12068061454564522,0.04801793298725814,0.04340359708457868,0.05128205128205128,0.1340385926275497,0.10647055739080279,0.1305778407005401,0.1355592260500236,0.13361910754548792
gap,1.92,1.868,1.972,18135,0.09304687896795165,0.13229044982816124,0.030321499314337957,0.02735876208373542,0.03377520442886891,0.1402983053143041,0.11449709651751401,0.13931636954644724,0.14808607174903077,0.14100936224964872
